City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
79,Nieuw Amsterdam,5.8833,-55.0833,25.01,90,40,2.57,scattered clouds,SR
80,Muros,42.7762,-9.0603,14.49,81,96,9.65,overcast clouds,ES
81,Steinbach,50.1667,8.5667,9.88,50,0,10.8,clear sky,DE
82,Alagoinhas,-12.1356,-38.4192,21.49,93,20,2.12,few clouds,BR
83,Gboko,7.3179,8.9951,26.37,79,100,7.71,overcast clouds,NG
84,Kavieng,-2.5744,150.7967,25.82,89,100,3.25,moderate rain,PG
85,Kalininsk,51.5,44.4758,6.74,77,100,3.84,overcast clouds,RU
86,Nioro,13.35,-15.75,27.0,41,95,3.54,overcast clouds,GM
87,Ilhabela,-23.7781,-45.3581,22.66,81,91,1.66,overcast clouds,BR
88,Jaque,7.5175,-78.1703,25.0,90,100,1.33,overcast clouds,PA
89,Sobolevo,54.4299,31.8996,7.67,83,100,6.63,overcast clouds,RU
90,Hithadhoo,-0.6,73.0833,27.85,63,45,2.09,scattered clouds,MV
91,Clyde River,70.4692,-68.5914,-16.87,85,75,5.66,light snow,CA
92,Port Hardy,50.6996,-127.4199,10.1,71,100,1.54,overcast clouds,CA
93,Cidreira,-30.1811,-50.2056,21.15,88,100,4.51,light rain,BR
94,Agirish,61.9247,63.0231,-2.96,100,100,0.88,overcast clouds,RU
95,Victoria,22.2855,114.1577,24.03,51,0,1.34,clear sky,HK
96,Alofi,-19.0595,-169.9187,28.94,65,75,7.2,broken clouds,NU
97,Tura,25.5198,90.2201,21.14,81,6,1.54,clear sky,IN
98,Arica,-18.475,-70.3042,20.75,68,0,3.09,clear sky,CL
99,Narsaq,60.9167,-46.05,-3.29,89,58,0.52,broken clouds,GL
100,Broome,42.2506,-75.833,8.59,82,100,5.14,mist,US
101,Dikson,73.5069,80.5464,-16.64,98,100,4.59,overcast clouds,RU
102,Bethel,41.3712,-73.414,10.47,91,100,6.17,overcast clouds,US
103,Vaini,-21.2,-175.2,28.09,89,75,2.06,broken clouds,TO
104,Bathsheba,13.2167,-59.5167,26.34,69,40,7.2,scattered clouds,BB
105,Tuatapere,-46.1333,167.6833,14.35,58,88,7.31,overcast clouds,NZ
106,Shelburne,44.0787,-80.2041,7.84,68,85,2.56,overcast clouds,CA
107,Longyearbyen,78.2186,15.6401,-14.09,72,20,7.2,few clouds,SJ
108,Sorong,-0.8833,131.25,26.55,84,100,2.22,overcast clouds,ID
