City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mbini,GQ,2022-03-31 21:26:33,1.574,9.6134,300.22,83,95,1.63
1,Port Elizabeth,ZA,2022-03-31 21:22:09,-33.918,25.5701,292.31,80,100,5.66
2,Busselton,AU,2022-03-31 21:26:33,-33.65,115.3333,294.23,73,2,4.86
3,Zhigansk,RU,2022-03-31 21:26:33,66.7697,123.3711,260.56,94,99,7.73
4,Vaini,TO,2022-03-31 21:26:34,-21.2,-175.2,301.24,83,40,2.57
5,Atuona,PF,2022-03-31 21:26:34,-9.8,-139.0333,299.07,74,7,3.45
6,Hobart,AU,2022-03-31 21:25:04,-42.8794,147.3294,285.07,75,100,3.6
7,Hilo,US,2022-03-31 21:26:35,19.7297,-155.09,300.0,75,40,4.63
8,Hami,CN,2022-03-31 21:26:35,42.8,93.45,279.67,24,0,3.4
9,Samarai,PG,2022-03-31 21:26:35,-10.6167,150.6667,300.75,80,100,5.76
10,Saint-Joseph,RE,2022-03-31 21:21:43,-21.3667,55.6167,297.36,78,86,5.52
11,Mesimerion,GR,2022-03-31 21:26:36,40.412,23.0059,289.73,67,40,6.69
12,Methala,IN,2022-03-31 21:26:36,10.2166,76.2166,299.15,89,97,0.13
13,Los Llanos De Aridane,ES,2022-03-31 21:26:36,28.6585,-17.9182,289.01,80,40,3.6
14,Ushuaia,AR,2022-03-31 21:26:36,-54.8,-68.3,284.96,47,20,7.72
15,Labytnangi,RU,2022-03-31 21:26:37,66.6572,66.4183,260.56,86,100,5.51
16,Tura,IN,2022-03-31 21:26:37,25.5198,90.2201,293.79,92,68,1.65
17,General Roca,AR,2022-03-31 21:26:37,-39.0333,-67.5833,296.27,12,5,4.26
18,Norman Wells,CA,2022-03-31 21:26:38,65.282,-126.8329,249.17,58,20,10.29
19,Mar Del Plata,AR,2022-03-31 21:21:53,-38.0023,-57.5575,289.16,75,40,3.13
20,Mahebourg,MU,2022-03-31 21:26:38,-20.4081,57.7,299.31,78,40,5.66
21,Rikitea,PF,2022-03-31 21:26:39,-23.1203,-134.9692,298.68,65,54,6.2
22,Puerto Ayora,EC,2022-03-31 21:26:39,-0.7393,-90.3518,301.13,75,97,1.9
23,North Bend,US,2022-03-31 21:26:39,43.4065,-124.2243,287.17,78,20,8.23
24,Khatanga,RU,2022-03-31 21:26:39,71.9667,102.5,251.53,100,81,2.3
25,Port Alfred,ZA,2022-03-31 21:26:40,-33.5906,26.891,291.03,93,100,1.34
26,Punta Arenas,CL,2022-03-31 21:24:28,-53.15,-70.9167,285.21,50,75,12.86
27,Lower Hutt,NZ,2022-03-31 21:26:40,-41.2167,174.9167,289.99,91,75,8.23
28,Tuktoyaktuk,CA,2022-03-31 21:26:41,69.4541,-133.0374,245.15,76,20,5.14
29,Nikolskoye,RU,2022-03-31 21:26:41,59.7035,30.7861,270.26,96,15,0.94
30,Avarua,CK,2022-03-31 21:26:41,-21.2078,-159.775,301.18,74,5,4.63
31,Redencao,BR,2022-03-31 21:26:41,-4.2258,-38.7306,297.13,86,100,1.33
32,Rumoi,JP,2022-03-31 21:26:42,43.9344,141.6428,273.0,66,81,3.25
33,Sao Filipe,CV,2022-03-31 21:26:42,14.8961,-24.4956,294.82,78,6,4.76
34,Jamestown,US,2022-03-31 21:26:42,42.097,-79.2353,280.95,50,100,5.66
35,Tocopilla,CL,2022-03-31 21:26:42,-22.092,-70.1979,294.1,67,20,4.2
36,Saint-Philippe,RE,2022-03-31 21:26:43,-21.3585,55.7679,297.92,79,100,4.67
37,Port Macquarie,AU,2022-03-31 21:26:43,-31.4333,152.9167,292.53,84,96,7.23
38,Buenos Aires,AR,2022-03-31 21:26:43,-34.6132,-58.3772,292.04,37,0,3.09
39,Mataura,NZ,2022-03-31 21:26:43,-46.1927,168.8643,282.11,70,100,1.44
40,Kahului,US,2022-03-31 21:26:44,20.8947,-156.47,301.16,68,40,10.8
41,Zharkovskiy,RU,2022-03-31 21:26:44,55.849,32.2697,268.72,96,99,2.01
42,Bluff,NZ,2022-03-31 21:26:44,-46.6,168.3333,282.88,62,100,4.11
43,Victoria,HK,2022-03-31 21:26:45,22.2855,114.1577,294.18,87,100,8.94
44,Cape Town,ZA,2022-03-31 21:26:45,-33.9258,18.4232,290.52,72,0,9.26
45,East London,ZA,2022-03-31 21:23:05,-33.0153,27.9116,292.88,94,100,0.44
46,Bredasdorp,ZA,2022-03-31 21:26:45,-34.5322,20.0403,290.61,60,83,2.49
47,Sorong,ID,2022-03-31 21:27:46,-0.8833,131.25,298.74,85,100,0.79
48,Tabou,CI,2022-03-31 21:27:46,4.423,-7.3528,300.1,86,35,3.0
49,Ballina,AU,2022-03-31 21:27:46,-28.8667,153.5667,291.49,78,94,6.64
50,Ariquemes,BR,2022-03-31 21:27:46,-9.9133,-63.0408,298.13,96,65,1.19
51,Huaicheng,CN,2022-03-31 21:27:47,23.9051,112.1931,289.45,87,100,1.34
52,Qaanaaq,GL,2022-03-31 21:27:47,77.484,-69.3632,269.75,71,100,2.1
53,West Bay,KY,2022-03-31 21:27:47,19.3667,-81.4167,302.62,73,40,5.66
54,Ati,TD,2022-03-31 21:27:47,13.2154,18.3353,303.11,8,6,4.17
55,Nantucket,US,2022-03-31 21:25:42,41.2835,-70.0995,286.23,88,100,9.26
56,Kitami,JP,2022-03-31 21:27:48,43.8031,143.8908,270.99,95,93,1.11
57,Cidreira,BR,2022-03-31 21:27:48,-30.1811,-50.2056,290.43,61,87,3.89
58,Port Shepstone,ZA,2022-03-31 21:27:49,-30.7414,30.455,296.19,91,51,5.52
59,Albany,US,2022-03-31 21:27:49,42.6001,-73.9662,289.51,84,100,3.5
60,Sarai Naurang,PK,2022-03-31 21:27:49,32.8259,70.7814,296.79,10,0,2.29
61,Moose Factory,CA,2022-03-31 21:27:50,51.2585,-80.6094,269.15,93,100,6.69
62,Tilichiki,RU,2022-03-31 21:27:50,60.4667,166.1,254.1,87,14,4.44
63,Bengkulu,ID,2022-03-31 21:27:50,-3.8004,102.2655,297.3,81,100,2.2
64,Vestmannaeyjar,IS,2022-03-31 21:27:50,63.4427,-20.2734,277.93,67,100,3.31
65,Haapiti,PF,2022-03-31 21:27:51,-17.5667,-149.8667,303.0,69,29,5.36
66,Sur,OM,2022-03-31 21:27:51,22.5667,59.5289,300.91,38,0,3.33
67,Dourbali,TD,2022-03-31 21:27:51,11.8091,15.8632,303.96,12,11,1.89
68,Collie,AU,2022-03-31 21:27:51,-33.3667,116.15,293.5,71,37,3.45
69,Novosheshminsk,RU,2022-03-31 21:27:52,55.0651,51.2338,271.62,98,100,3.67
70,Pisco,PE,2022-03-31 21:27:52,-13.7,-76.2167,296.18,60,0,8.23
71,Thompson,CA,2022-03-31 21:27:52,55.7435,-97.8558,278.24,33,75,4.63
72,Bud,US,2022-03-31 21:27:53,39.447,-86.1758,278.63,79,100,6.79
73,Avera,US,2022-03-31 21:27:53,33.194,-82.5271,297.9,55,76,6.77
74,Ribeira Grande,PT,2022-03-31 21:27:53,38.5167,-28.7,289.89,90,99,7.67
